dataset,attack,row_percent,metric,clean,poisoned_mean,poisoned_std,delta_mean,delta_std,relative_pct,relative_unstable,n_runs
wids,x-capgd,16,ce,0.20898880577437587,0.2726349647668528,0.02395957064864281,0.06364615899247691,0.02395957064864281,30.454338813337806,False,5
wids,x-capgd,16,roc_auc,0.8794871794871796,0.8255970695970696,0.014126393348439754,-0.05389010989010996,0.014126393348439752,-6.127446897126205,False,5
wids,x-capgd,16,accuracy,0.925,0.9120000000000001,0.0053665631459995,-0.013000000000000012,0.005366563145999499,-1.4054054054054066,False,5
wids,x-capgd,16,balanced_accuracy,0.6534188034188034,0.6102319902319903,0.01650338421890219,-0.04318681318681321,0.01650338421890219,-6.609361861160426,False,5
wids,x-capgd,16,mcc,0.4328728435534341,0.3159734675539757,0.04678938051373553,-0.11689937599945836,0.04678938051373554,-27.005476952501002,False,5
wids,x-capgd,64,ce,0.20898880577437587,1.2785849258252413,0.5336671087188806,1.0695961200508655,0.5336671087188806,511.79589073569826,False,5
wids,x-capgd,64,roc_auc,0.8794871794871796,0.4974407814407814,0.10797187874528909,-0.3820463980463982,0.10797187874528909,-43.43967791198113,False,5
wids,x-capgd,64,accuracy,0.925,0.5768000000000001,0.2216884300093264,-0.3482,0.2216884300093264,-37.64324324324324,False,5
wids,x-capgd,64,balanced_accuracy,0.6534188034188034,0.4540903540903541,0.06978467955030049,-0.19932844932844934,0.06978467955030049,-30.505465757264318,False,5
wids,x-capgd,64,mcc,0.4328728435534341,-0.04830532703373863,0.09046344342158238,-0.4811781705871727,0.09046344342158238,-111.15924173879847,False,5
wids,label-flip,1,ce,0.20898880577437587,0.22680194415344124,0.0005276094616001764,0.01781313837906536,0.0005276094616001764,8.523489242910173,False,5
wids,label-flip,1,roc_auc,0.8794871794871796,0.8524786324786324,0.0030860766609999237,-0.027008547008547067,0.0030860766609999237,-3.070942662779404,False,5
wids,label-flip,1,accuracy,0.925,0.9218,0.001166190378969061,-0.0032000000000000028,0.001166190378969061,-0.34594594594594624,False,5
wids,label-flip,1,balanced_accuracy,0.6534188034188034,0.6456532356532356,0.001414149255571736,-0.007765567765567827,0.0014141492555717363,-1.1884518359338596,False,5
wids,label-flip,1,mcc,0.4328728435534341,0.4075862675187854,0.005347074143315689,-0.02528657603464869,0.0053470741433156894,-5.841571355475271,False,5
wids,label-flip,4,ce,0.20898880577437587,0.2404177928477098,0.0008033795406453425,0.03142898707333393,0.0008033795406453425,15.038598338738122,False,5
wids,label-flip,4,roc_auc,0.8794871794871796,0.823091575091575,0.00517544610962131,-0.05639560439560454,0.00517544610962131,-6.412328196584771,False,5
wids,label-flip,4,accuracy,0.925,0.9164,0.0021540659228538035,-0.008600000000000007,0.0021540659228538035,-0.9297297297297303,False,5
wids,label-flip,4,balanced_accuracy,0.6534188034188034,0.6286691086691086,0.003691302975240801,-0.024749694749694774,0.003691302975240801,-3.7877230682986114,False,5
wids,label-flip,4,mcc,0.4328728435534341,0.360962024786252,0.013274316967896526,-0.07191081876718211,0.013274316967896525,-16.612457870276494,False,5
wids,label-flip,16,ce,0.20898880577437587,0.2981038945719308,0.004956476796581028,0.08911508879755495,0.004956476796581028,42.641082361972785,False,5
wids,label-flip,16,roc_auc,0.8794871794871796,0.8206495726495728,0.048610273535393725,-0.05883760683760686,0.048610273535393725,-6.6899902818270185,False,5
wids,label-flip,16,accuracy,0.925,0.9166000000000001,0.008309031231136401,-0.008400000000000008,0.008309031231136401,-0.9081081081081089,False,5
wids,label-flip,16,balanced_accuracy,0.6534188034188034,0.6237728937728938,0.021766400792196515,-0.02964590964590963,0.021766400792196515,-4.537045688124822,False,5
wids,label-flip,16,mcc,0.4328728435534341,0.36127192038407363,0.0423838877954781,-0.07160092316936043,0.0423838877954781,-16.54086742462096,False,5
wids,label-flip,64,ce,0.20898880577437587,1.4407034135210544,0.0033522012791321653,1.2317146077466785,0.0033522012791321653,589.3687000041698,False,5
wids,label-flip,64,roc_auc,0.8794871794871796,0.2601245421245421,0.0028939161131568045,-0.6193626373626374,0.002893916113156811,-70.4231570179092,False,5
wids,label-flip,64,accuracy,0.925,0.2758,0.0016000000000000014,-0.6492000000000001,0.0016000000000000014,-70.1837837837838,False,5
wids,label-flip,64,balanced_accuracy,0.6534188034188034,0.33376068376068374,0.004770037824640278,-0.31965811965811963,0.004770037824640278,-48.92086330935251,False,5
wids,label-flip,64,mcc,0.4328728435534341,-0.20905545285277088,0.0059640499433995945,-0.641928296406205,0.005964049943399614,-148.29488750937665,False,5
