path,model,dataset,ctx,test,rows,eps,cons,iters,loss_old,loss_new,loss_pct,acc_old,acc_new,acc_pct,bacc_old,bacc_new,bacc_pct,mcc_old,mcc_new,mcc_pct,auc_old,auc_new,auc_pct,cells_moved,cells_total,pct_ctx,run
deployed,TabPFNv2/simple/ne1,lcld_v2,5000,1000,1,50.0,none,100,0.44870463013648987,0.45445069670677185,1.280589988236606,0.802,0.804,0.24937655860349148,0.5185313955914053,0.5178613195440954,-0.12922574274323242,0.10280826148961943,0.1099089862044093,6.906764701499044,0.7243142783091326,0.7144907105966838,-1.3562576365857888,28,28,0.02,lcld_v2/p2_none_eps50_it100
optimiser,TabPFNv2/simple/ne1,lcld_v2,5000,1000,1,50.0,none,100,0.44993922114372253,0.4576750099658966,1.7192963979690616,0.804,0.806,0.24875621890547284,0.52552,0.52294,-0.4909423047648095,0.13004,0.13365,2.7760689018763474,0.72244,0.71212,-1.4284923315431033,28,28,0.02,lcld_v2/p2_none_eps50_it100
deployed,TabPFNv2/simple/ne1,url_unique,5000,1000,1,0.5,full,100,0.08312133699655533,0.08342006802558899,0.35939151104612377,0.974,0.975,0.10266940451745389,0.9741213750720183,0.9751056270405223,0.10103997239883664,0.9481213673030194,0.9500915194403343,0.20779535249997422,0.994978714550925,0.9949867165994494,0.0008042431870484594,31,63,0.02,url_unique/abl_rows001_full_it100
optimiser,TabPFNv2/simple/ne1,url_unique,5000,1000,1,0.5,full,100,0.0834294781088829,0.08406294882297516,0.7592888370529166,0.972,0.971,-0.10288065843621409,0.97206,0.97107,-0.10184556508857955,0.94402,0.94204,-0.20974131903984894,0.99475,0.99453,-0.022116109575269965,31,63,0.02,url_unique/abl_rows001_full_it100
deployed,TabPFNv2/simple/ne1,url_unique,5000,1000,1,0.5,none,100,0.08312133699655533,0.08004932850599289,-3.6958121723784925,0.974,0.974,0.0,0.9741213750720183,0.9740893668779207,-0.003285852760934256,0.9481213673030194,0.9480649436593338,-0.0059510992612825985,0.994978714550925,0.9950347288905961,0.0056297023093950065,62,63,0.02,url_unique/abl_rows001_none_it100
optimiser,TabPFNv2/simple/ne1,url_unique,5000,1000,1,0.5,none,100,0.0834294781088829,0.08813182264566422,5.6363106223010675,0.972,0.969,-0.30864197530864224,0.97206,0.96917,-0.2973067506121082,0.94402,0.93823,-0.6133344632528932,0.99475,0.99417,-0.0583061070620784,62,63,0.02,url_unique/abl_rows001_none_it100
deployed,TabPFNv2/simple/ne1,url_unique,5000,1000,2,0.5,full,100,0.08312133699655533,0.08377303183078766,0.7840283346974286,0.974,0.973,-0.10266940451745389,0.9741213750720183,0.9731051149094168,-0.10432582515977089,0.9481213673030194,0.9460909993409612,-0.2141464196544511,0.994978714550925,0.9949026950899429,-0.007640310277032891,64,126,0.04,url_unique/abl_rows002_full_it100
optimiser,TabPFNv2/simple/ne1,url_unique,5000,1000,2,0.5,full,100,0.0834295004606247,0.0870230495929718,4.307288324281787,0.972,0.971,-0.10288065843621409,0.97206,0.9711,-0.09875933584347384,0.94402,0.94209,-0.2044448210842977,0.99475,0.99425,-0.05026388539834691,64,126,0.04,url_unique/abl_rows002_full_it100
deployed,TabPFNv2/simple/ne1,url_unique,5000,1000,2,0.5,none,100,0.08312133699655533,0.09273661673069,11.567763562962353,0.974,0.969,-0.5133470225872695,0.9741213750720183,0.969168107035401,-0.5084857147551174,0.9481213673030194,0.9382329876933416,-1.0429444953662232,0.994978714550925,0.9935343447922669,-0.1451658952634018,124,126,0.04,url_unique/abl_rows002_none_it100
optimiser,TabPFNv2/simple/ne1,url_unique,5000,1000,2,0.5,none,100,0.0834295004606247,0.09273680299520493,11.1558890838294,0.972,0.969,-0.30864197530864224,0.97206,0.96917,-0.2973067506121082,0.94402,0.93823,-0.6133344632528932,0.99475,0.99353,-0.12264388037195263,124,126,0.04,url_unique/abl_rows002_none_it100
deployed,TabPFNv2/simple/ne1,url_unique,5000,1000,4,0.5,full,100,0.08312133699655533,0.08316010236740112,0.04663708771599905,0.974,0.974,0.0,0.9741213750720183,0.9741213750720183,0.0,0.9481213673030194,0.9481213673030194,0.0,0.994978714550925,0.9949307022597785,-0.004825459122324231,117,252,0.08,url_unique/abl_rows004_full_it100
optimiser,TabPFNv2/simple/ne1,url_unique,5000,1000,4,0.5,full,100,0.0834297314286232,0.08774435520172119,5.171566178166701,0.972,0.968,-0.41152263374485637,0.97206,0.96812,-0.4053247741908992,0.94402,0.93612,-0.8368466769771846,0.99475,0.99418,-0.05730082935411615,117,252,0.08,url_unique/abl_rows004_full_it100
deployed,TabPFNv2/simple/ne1,url_unique,5000,1000,4,0.5,none,100,0.08312133699655533,0.09693777561187744,16.622012006248994,0.974,0.972,-0.20533880903490778,0.9741213750720183,0.9722168875232059,-0.19550823927579336,0.9481213673030194,0.9443808776566168,-0.39451591066264324,0.994978714550925,0.9933582997247296,-0.16285924537861293,248,252,0.08,url_unique/abl_rows004_none_it100
optimiser,TabPFNv2/simple/ne1,url_unique,5000,1000,4,0.5,none,100,0.0834297314286232,0.09693797677755356,16.191164849292477,0.972,0.972,0.0,0.97206,0.97222,0.01645988930723803,0.94402,0.94438,0.03813478527997574,0.99475,0.99336,-0.13973360140738902,248,252,0.08,url_unique/abl_rows004_none_it100
deployed,TabPFNv2/simple/ne1,url_unique,5000,1000,8,0.5,full,100,0.08312133699655533,0.08381391316652298,0.833211056261466,0.974,0.972,-0.20533880903490778,0.9741213750720183,0.9721208629409128,-0.20536579755860754,0.9481213673030194,0.9441208552046944,-0.42194092827005336,0.994978714550925,0.995018724793547,0.004021215935264613,228,504,0.16,url_unique/abl_rows008_full_it100
optimiser,TabPFNv2/simple/ne1,url_unique,5000,1000,8,0.5,full,100,0.0834294781088829,0.0888325572013855,6.476223050863503,0.972,0.969,-0.30864197530864224,0.97206,0.96914,-0.3003929798572139,0.94402,0.93815,-0.6218088599817728,0.99475,0.9941,-0.06534305101784764,228,504,0.16,url_unique/abl_rows008_full_it100
deployed,TabPFNv2/simple/ne1,url_unique,5000,1000,8,0.5,none,100,0.08312133699655533,0.10477764904499054,26.053854318215166,0.974,0.964,-1.026694045174539,0.9741213750720183,0.9642148389987837,-1.0169714295102348,0.9481213673030194,0.9283776769913857,-2.08240115585578,0.994978714550925,0.9924300620958966,-0.25615145507698184,496,504,0.16,url_unique/abl_rows008_none_it100
optimiser,TabPFNv2/simple/ne1,url_unique,5000,1000,8,0.5,none,100,0.0834294781088829,0.10477745532989502,25.588050776430727,0.972,0.964,-0.8230452674897127,0.97206,0.96421,-0.8075633191366812,0.94402,0.92838,-1.6567445604965985,0.99475,0.99243,-0.23322442824830247,496,504,0.16,url_unique/abl_rows008_none_it100
deployed,TabPFNv2/simple/ne1,url_unique,5000,1000,16,0.5,full,100,0.08312133699655533,0.08524847775697708,2.5590790972357733,0.974,0.971,-0.3080082135523617,0.9741213750720183,0.9711046027783112,-0.3096916227183784,0.9481213673030194,0.9420904792415881,-0.6360881918088764,0.994978714550925,0.9947946674348633,-0.01849759330225962,459,1008,0.32,url_unique/abl_rows016_full_it100
optimiser,TabPFNv2/simple/ne1,url_unique,5000,1000,16,0.5,full,100,0.08342960476875305,0.08788046985864639,5.334874955035537,0.972,0.972,0.0,0.97206,0.97209,0.003086229245105702,0.94402,0.94406,0.004237198364445669,0.99475,0.99421,-0.05428499623020708,459,1008,0.32,url_unique/abl_rows016_full_it100
deployed,TabPFNv2/simple/ne1,url_unique,5000,1000,16,0.5,none,100,0.08312133699655533,0.10968540608882904,31.958183123756257,0.974,0.963,-1.1293634496919926,0.9741213750720183,0.9632625952243774,-1.1147255491481374,0.9481213673030194,0.9265567019792791,-2.274462539018835,0.994978714550925,0.992362044683439,-0.26298752216694393,992,1008,0.32,url_unique/abl_rows016_none_it100
optimiser,TabPFNv2/simple/ne1,url_unique,5000,1000,16,0.5,none,100,0.08342960476875305,0.10968568921089172,31.470944294791124,0.972,0.963,-0.9259259259259267,0.97206,0.96326,-0.9052939118984455,0.94402,0.92656,-1.8495370860786762,0.99475,0.99236,-0.24026137220407168,992,1008,0.32,url_unique/abl_rows016_none_it100
deployed,TabPFNv2/simple/ne1,url_unique,5000,1000,32,0.5,full,100,0.08312133699655533,0.08523321896791458,2.540721850331609,0.974,0.973,-0.10266940451745389,0.9741213750720183,0.9730731067153191,-0.10761167792070515,0.9481213673030194,0.9460421278750604,-0.21930097766634798,0.994978714550925,0.9946626336342103,-0.03176760588867636,979,2016,0.64,url_unique/abl_rows032_full_it100
optimiser,TabPFNv2/simple/ne1,url_unique,5000,1000,32,0.5,full,100,0.08342952281236649,0.08828279376029968,5.817210484169055,0.972,0.971,-0.10288065843621409,0.97206,0.97114,-0.09464436351665863,0.94402,0.94215,-0.19808902353762922,0.99475,0.99405,-0.07036943955768121,979,2016,0.64,url_unique/abl_rows032_full_it100
deployed,TabPFNv2/simple/ne1,url_unique,5000,1000,32,0.5,none,100,0.08312133699655533,0.5126874446868896,516.7940305244804,0.974,0.757,-22.279260780287473,0.9741213750720183,0.7606667306830549,-21.912530599503825,0.9481213673030194,0.5837066726568199,-38.435447951436444,0.994978714550925,0.979722809039114,-1.5332896361201673,1984,2016,0.64,url_unique/abl_rows032_none_it100
optimiser,TabPFNv2/simple/ne1,url_unique,5000,1000,32,0.5,none,100,0.08342952281236649,0.5126880407333374,514.5163288136933,0.972,0.757,-22.119341563786005,0.97206,0.76067,-21.74660000411498,0.94402,0.58371,-38.167623567297305,0.99475,0.97972,-1.5109323950741378,1984,2016,0.64,url_unique/abl_rows032_none_it100
deployed,TabPFNv2/simple/ne1,url_unique,5000,1000,64,0.5,full,100,0.08312133699655533,0.08554381132125854,2.9143832525258917,0.974,0.974,0.0,0.9741213750720183,0.9741213750720183,0.0,0.9481213673030194,0.9481213673030194,0.0,0.994978714550925,0.9945466039306061,-0.04342913210097386,1938,4032,1.28,url_unique/abl_rows064_full_it100
optimiser,TabPFNv2/simple/ne1,url_unique,5000,1000,64,0.5,full,100,0.08342953026294708,0.08875787258148193,6.386638282322066,0.972,0.973,0.10288065843621409,0.97206,0.9732,0.11727671131410806,0.94402,0.94633,0.2446982055464963,0.99475,0.99417,-0.0583061070620784,1938,4032,1.28,url_unique/abl_rows064_full_it100
deployed,TabPFNv2/simple/ne1,url_unique,5000,1000,64,0.5,none,100,0.08312133699655533,1.415406584739685,1602.8198004061721,0.974,0.497,-48.97330595482546,0.9741213750720183,0.5049212598425197,-48.16649415939671,0.9481213673030194,0.06976284078801147,-92.64199255560969,0.994978714550925,0.9755137315152679,-1.9563215525110491,3968,4032,1.28,url_unique/abl_rows064_none_it100
optimiser,TabPFNv2/simple/ne1,url_unique,5000,1000,64,0.5,none,100,0.08342953026294708,1.4154002666473389,1596.5219175828797,0.972,0.497,-48.86831275720164,0.97206,0.50492,-48.056704318663456,0.94402,0.06976,-92.61032605241414,0.99475,0.97551,-1.9341543101281764,3968,4032,1.28,url_unique/abl_rows064_none_it100
deployed,TabPFNv2/simple/ne1,url_unique,5000,1000,128,0.5,full,100,0.08312133699655533,0.08900102227926254,7.073617310740414,0.974,0.97,-0.41067761806981556,0.9741213750720183,0.970152359003905,-0.40744574235628084,0.9481213673030194,0.9401918728650119,-0.8363374892144199,0.994978714550925,0.9945145957365085,-0.04664610484919002,3942,8064,2.56,url_unique/abl_rows128_full_it100
optimiser,TabPFNv2/simple/ne1,url_unique,5000,1000,128,0.5,full,100,0.08342944830656052,0.08997419476509094,7.844647892770228,0.972,0.969,-0.30864197530864224,0.97206,0.96923,-0.29113429212188535,0.94402,0.93844,-0.5910891718395711,0.99475,0.99418,-0.05730082935411615,3942,8064,2.56,url_unique/abl_rows128_full_it100
deployed,TabPFNv2/simple/ne1,url_unique,5000,1000,128,0.5,none,100,0.08312133699655533,1.3867818117141724,1568.3824657099087,0.974,0.498,-48.87063655030801,0.9741213750720183,0.5059055118110236,-48.065454186997876,0.9481213673030194,0.07645979481654112,-91.93565323456058,0.994978714550925,0.9813272197682607,-1.3720388771156624,7936,8064,2.56,url_unique/abl_rows128_none_it100
